bad data: 190
NAME: BossLetsPlays-GhostSmasher.jar, ERROR: No methods present.
NAME: skuarch-sam4-client.jar, ROWS: 2, AVERAGE: 1.0
NAME: zephyrthenoble-SugarScape.jar, ROWS: 6, AVERAGE: 3.5
NAME: svnee-EPCModeler.jar, ROWS: 11, AVERAGE: 1.6363636
NAME: 52Jolynn-Doodo.jar, ROWS: 2, AVERAGE: 1.0
NAME: JoshDreamland-JoshEdit.jar, ROWS: 2, AVERAGE: 1.0
NAME: topahl-customSWING.jar, ROWS: 1, AVERAGE: 2.0
NAME: benlakey-breakout.jar, ROWS: 8, AVERAGE: 1.5
NAME: deanwilliams-MDIDesktop.jar, ROWS: 1, AVERAGE: 1.0
NAME: mdreem-Collisions.jar, ROWS: 3, AVERAGE: 2.0
NAME: amitSA-FighterplaneGame-Realism.jar, ROWS: 11, AVERAGE: 1.3636364
NAME: aseempatni-case-tool.jar, ROWS: 30, AVERAGE: 1.4
NAME: Igorvich-2DGraphics.jar, ROWS: 15, AVERAGE: 3.2666667
NAME: MegYuan1-Purdue-CS-Projects.jar, ROWS: 1, AVERAGE: 1.0
NAME: bekar-jplotq1.jar, ROWS: 1, AVERAGE: 3.0
NAME: Notaveerus-baseEngine.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: Azmisov-racko-ai.jar, ROWS: 2, AVERAGE: 2.0
NAME: edwardfxc-project3_group8.jar, ROWS: 3, AVERAGE: 1.0
NAME: redneckz-crossword.jar, ROWS: 2, AVERAGE: 1.0
NAME: Techtony96-AP-Computer-Science.jar, ROWS: 15, AVERAGE: 1.7333333
NAME: flok99-CoffeeSaint.jar, ROWS: 1, AVERAGE: 1.0
NAME: simon0191-tetris3d.jar, ROWS: 1, AVERAGE: 1.0
NAME: omerg-openGO.jar, ROWS: 2, AVERAGE: 1.0
NAME: hronir-newtonmaps.jar, ROWS: 5, AVERAGE: 2.0
NAME: yeochinyi-test-java-api.jar, ROWS: 1, AVERAGE: 1.0
NAME: nka11-jintn3270.jar, ROWS: 4, AVERAGE: 3.5
NAME: acme330-smart-washing.jar, ROWS: 1, AVERAGE: 1.0
NAME: FKatenbrink-NumProgHAs.jar, ROWS: 2, AVERAGE: 2.0
NAME: adeelateeque-OSASSIGNMENT.jar, ROWS: 6, AVERAGE: 1.0
NAME: hasan-imam-networked-mazewar.jar, ROWS: 2, AVERAGE: 2.0
NAME: buster52000-Rift.jar, ROWS: 1, AVERAGE: 2.0
NAME: sr0004-GUI2.0DynamicButtons.jar, ROWS: 1, AVERAGE: 1.0
NAME: azylstra-SciTK.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: 010239-java.jar, ROWS: 5, AVERAGE: 2.2
NAME: dietmar-steiner-DonegalGlitcher.jar, ROWS: 1, AVERAGE: 1.0
NAME: gearlles-natural-computing.jar, ROWS: 2, AVERAGE: 1.0
NAME: mstyles-JarnabyPC.jar, ROWS: 6, AVERAGE: 1.5
NAME: michaelnwani-Core_Java_Vol1_Workthrough.jar, ROWS: 9, AVERAGE: 3.0
NAME: burtgulash-favsp2012-kpg.jar, ROWS: 3, AVERAGE: 2.0
NAME: jrupac-etherview.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: eoinomurchu-gmPx.jar, ROWS: 7, AVERAGE: 5.142857
NAME: elifriedman-ArduinoJavaServer.jar, ROWS: 1, AVERAGE: 2.0
NAME: jessifin-Vector-Game.jar, ROWS: 1, AVERAGE: 2.0
NAME: jcsombria-jim-client.jar, ROWS: 1, AVERAGE: 2.0
NAME: takkasila-OOPLab_RelativeTheGame.jar, ROWS: 5, AVERAGE: 2.0
NAME: hugbunadarfjelagid-tictactoe.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: devChuk-HackNYU_STUY.jar, ROWS: 5, AVERAGE: 1.0
NAME: AlanFoster-Java-Game-Engine.jar, ROWS: 9, AVERAGE: 1.0
NAME: gracechan-resolution-tool.jar, ROWS: 11, AVERAGE: 3.909091
NAME: Scentle5S-Catan.jar, ROWS: 4, AVERAGE: 1.0
NAME: cabryant-SLATE-public.jar, ROWS: 16, AVERAGE: 3.125
NAME: jnowotny-Team-36---Fanorona.jar, ROWS: 4, AVERAGE: 1.0
NAME: yutingc-DartTD.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: rahulsmehta-animated-tsp.jar, ROWS: 14, AVERAGE: 1.4285715
NAME: MisterWeasel-SpaceShooter.jar, ROWS: 5, AVERAGE: 1.4
NAME: OscardR-timewastingshapes.jar, ROWS: 4, AVERAGE: 2.0
NAME: stevenjschroeder-Fanorona-Game.jar, ROWS: 1, AVERAGE: 1.0
NAME: m-marini-routes.jar, ROWS: 48, AVERAGE: 2.4166667
NAME: Kimbsy-Kimbertime.jar, ROWS: 5, AVERAGE: 2.4
NAME: nalane-FinalProject.jar, ROWS: 1, AVERAGE: 5.0
NAME: tomas1000r-tetris.jar, ROWS: 1, AVERAGE: 1.0
NAME: J0c4-viplay.jar, ROWS: 1, AVERAGE: 1.0
NAME: pipozzz-domino.jar, ROWS: 2, AVERAGE: 2.0
NAME: KarelSels-Asteroids.jar, ROWS: 1, AVERAGE: 6.0
NAME: CatoTH-ChibiPaint-Animexx-Edition.jar, ROWS: 19, AVERAGE: 2.631579
NAME: aaronkrolik-CS308FinalProject_Inputs.jar, ROWS: 21, AVERAGE: 1.4285715
NAME: PierceJensen-BroomballSimulator.jar, ROWS: 2, AVERAGE: 3.0
NAME: dilipmenon-BIS_Repo.jar, ROWS: 2, AVERAGE: 1.0
NAME: ams2990-ConvexHull.jar, ROWS: 1, AVERAGE: 2.0
NAME: holyhope-bomberman.jar, ROWS: 15, AVERAGE: 1.8
NAME: Prodarky-Asteroids.jar, ROWS: 23, AVERAGE: 2.2173913
NAME: taylorlloyd-Graviton.jar, ROWS: 13, AVERAGE: 1.0
NAME: cranktec-BattleMaze.jar, ROWS: 2, AVERAGE: 2.0
NAME: osmdawy-java-findTheBomb.jar, ROWS: 1, AVERAGE: 2.0
NAME: huangqianuk-GPMC-0417.jar, ROWS: 1, AVERAGE: 1.0
NAME: TobiasMende-CASi.jar, ROWS: 40, AVERAGE: 2.375
NAME: dsball-cs160.jar, ROWS: 1, AVERAGE: 1.0
NAME: Jakz-nanoeditor.jar, ROWS: 1, AVERAGE: 2.0
NAME: Eule-StreamRipStar.jar, ROWS: 2, AVERAGE: 1.0
NAME: slam5000-BuffonsNeedle.jar, ROWS: 7, AVERAGE: 2.2857144
NAME: bob0007-JavaGame.jar, ROWS: 9, AVERAGE: 2.4444444
NAME: zhenghe1-Zork.jar, ROWS: 6, AVERAGE: 1.0
NAME: UberMouse-UberUtils.jar, ROWS: 20, AVERAGE: 2.2
NAME: trig-warfare-group-trig-warfare.jar, ROWS: 11, AVERAGE: 3.0
NAME: SebastianTroy-OpenSourceRPG.jar, ROWS: 3, AVERAGE: 1.0
NAME: qttran-map.jar, ROWS: 8, AVERAGE: 1.375
NAME: AlexanderPeev-Carletti-11I.jar, ROWS: 2, AVERAGE: 1.5
NAME: Vivekf-RetailerGame.jar, ROWS: 1, AVERAGE: 1.0
NAME: Avoduhcado-AvocadoGL.jar, ROWS: 155, AVERAGE: 2.935484
NAME: gdude2002-Training.jar, ROWS: 1, AVERAGE: 7.0
NAME: z3ss-MyProject.jar, ROWS: 1, AVERAGE: 1.0
NAME: MakiCode-ScrambleCard.jar, ROWS: 1, AVERAGE: 2.0
NAME: random-access-FlashCardsManager.jar, ROWS: 1, AVERAGE: 1.0
NAME: Goutye-1GAM1014.jar, ROWS: 4, AVERAGE: 1.25
NAME: carlito54-Projet.jar, ROWS: 1, AVERAGE: 1.0
NAME: hitchh1k3r-JavaGameEngine.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: CGR93-Programacion.jar, ROWS: 3, AVERAGE: 1.0
NAME: zhangchunsheng-simple-map-editor.jar, ROWS: 1, AVERAGE: 1.0
NAME: kylelmoy-MEDIX-EigenWormPCA.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: huyphan-reJ.jar, ROWS: 1, AVERAGE: 1.0
NAME: jgm55-DynamoEngine.jar, ROWS: 1, AVERAGE: 1.0
NAME: MahadiHasanNahid-Testing.jar, ROWS: 1, AVERAGE: 1.0
NAME: pdf4j-icepdf.jar, ROWS: 233, AVERAGE: 2.7596567
NAME: stixes-autocrrc.jar, ROWS: 4, AVERAGE: 1.0
NAME: rakusai-turkit.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: seavers-pal.jar, ROWS: 1, AVERAGE: 1.0
NAME: shouru-FinalProject.jar, ROWS: 47, AVERAGE: 3.255319
NAME: shuttler67-The_Alliant.jar, ROWS: 1, AVERAGE: 2.0
NAME: SnailCoil-cellular-evolution.jar, ROWS: 4, AVERAGE: 1.0
NAME: stonyss-MegaT.jar, ROWS: 3, AVERAGE: 3.0
NAME: moonwatcher-Foliage.jar, ROWS: 4, AVERAGE: 1.75
NAME: bobmath-BattleNationsAnimation.jar, ROWS: 9, AVERAGE: 1.8888888
NAME: maykrosa77-ProjetoIntegrador.jar, ROWS: 1, AVERAGE: 4.0
NAME: nickstanish-JDraw.jar, ROWS: 5, AVERAGE: 1.8
NAME: penouille-Stratego-ucl.jar, ROWS: 1, AVERAGE: 1.0
NAME: salathegroup-global-commons.jar, ROWS: 2, AVERAGE: 1.0
NAME: FRosner-BeeHive.jar, ROWS: 4, AVERAGE: 1.0
NAME: AmitDutta-Lexi.jar, ROWS: 1, AVERAGE: 2.0
NAME: hermith-alecthefancy.jar, ROWS: 2, AVERAGE: 2.0
NAME: sohaibbhatti-java_algorithms.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: JonWBedard-GlFormControls.jar, ROWS: 6, AVERAGE: 1.5
NAME: jrodeldu-RType.jar, ROWS: 1, AVERAGE: 1.0
NAME: dylanross-gitf.jar, ROWS: 2, AVERAGE: 3.5
NAME: wittelw-cs046-problem_set_2.jar, ROWS: 3, AVERAGE: 1.0
NAME: propra13-orga-gruppe14.jar, ROWS: 15, AVERAGE: 2.5333333
NAME: premranjan-prem.jar, ROWS: 1, AVERAGE: 1.0
NAME: SwaveTheX7MasterBOOM-MKF.jar, ROWS: 1, AVERAGE: 3.0
NAME: cobreti-CSVViewer.jar, ROWS: 6, AVERAGE: 1.0
NAME: defianc3-Team35.jar, ROWS: 2, AVERAGE: 1.5
NAME: peterxu422-CollisionFreePathPlanner.jar, ROWS: 1, AVERAGE: 1.0
NAME: cr0ss0vr-mp-game-1.jar, ROWS: 5, AVERAGE: 1.6
NAME: gurult-ChaosTheory2.jar, ROWS: 12, AVERAGE: 2.0
NAME: DJJMT-Final_Project.jar, ROWS: 1, AVERAGE: 1.0
NAME: cyberpaladin-NiftyGUIExample.jar, ROWS: 1, AVERAGE: 4.0
NAME: radkovo-SwingBox.jar, ROWS: 3, AVERAGE: 1.0
NAME: weeg-AntFarm.jar, ROWS: 6, AVERAGE: 1.0
NAME: frakinho-PI_SI_SWARM.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: wanghy0113-JavaGame.jar, ROWS: 1, AVERAGE: 1.0
NAME: lukaswelte-numericalProgramming-differentialEquationsSolver.jar, ROWS: 1, AVERAGE: 1.0
NAME: HerobrinesArmy-0x10c.jar, ROWS: 1, AVERAGE: 4.0
NAME: araymer-SomeTowerDefense.jar, ROWS: 4, AVERAGE: 3.0
NAME: stuartstevenson-disertation.jar, ROWS: 28, AVERAGE: 1.25
NAME: rcmccartney-Pong_game.jar, ROWS: 64, AVERAGE: 3.40625
NAME: hitdatoc-CS140MP2.jar, ROWS: 5, AVERAGE: 1.0
NAME: john0xff-Jumper3Client.jar, ROWS: 1, AVERAGE: 1.0
NAME: ColPowell-OSBotScripting.jar, ROWS: 1, AVERAGE: 1.0
NAME: GitterSitter-mxGraph.jar, ROWS: 78, AVERAGE: 1.8717948
NAME: neo2oo5-verteiltesFilesystem.jar, ROWS: 1, AVERAGE: 1.0
NAME: bitstrings-splasher-maven-plugin.jar, ROWS: 1, AVERAGE: 2.0
NAME: bleachisback-Flatscape.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: hersheybars-Harsh_HomeWork.jar, ROWS: 1, AVERAGE: 5.0
NAME: m-marini-railways.jar, ROWS: 46, AVERAGE: 2.4347825
NAME: metakevin-tds1logview.jar, ROWS: 1, AVERAGE: 2.0
NAME: malorch-ObjectDraw.jar, ROWS: 13, AVERAGE: 1.6153846
NAME: thrap-project-euler.jar, ROWS: 2, AVERAGE: 2.5
NAME: Pooze-TDDC69-tetris.jar, ROWS: 3, AVERAGE: 1.0
NAME: impjmichel-2DGravityControl_remake.jar, ROWS: 31, AVERAGE: 2.2903225
NAME: aguspagnoni-Mirrors---Lasers.jar, ROWS: 1, AVERAGE: 2.0
NAME: adamreis-offset.jar, ROWS: 2, AVERAGE: 1.0
NAME: rcrozon-Spartacus.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: jlimek-Draw9PatchExtended.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: nicolas-f-JFreeSVG.jar, ROWS: 66, AVERAGE: 2.7878788
NAME: hj005zy-corejava.jar, ROWS: 1, AVERAGE: 1.0
NAME: jwangc2-GameEngine.jar, ROWS: 9, AVERAGE: 2.4444444
NAME: EvanDElia-PlatformGame.jar, ROWS: 1, AVERAGE: 3.0
NAME: Lucariatias-ld29.jar, ROWS: 2, AVERAGE: 1.0
NAME: hofmn-Labs.jar, ROWS: 1, AVERAGE: 1.0
NAME: michaelaw320-Aschente-JanKenPon-client.jar, ROWS: 4, AVERAGE: 1.25
NAME: jemsnaban-overFlowProject.jar, ROWS: 1, AVERAGE: 2.0
NAME: vimsh-mafscaling.jar, ROWS: 9, AVERAGE: 2.2222223
NAME: moyamo-bfc.jar, ROWS: 12, AVERAGE: 1.8333334
NAME: novalis-zag.jar, ROWS: 7, AVERAGE: 1.5714285
NAME: kgabriel-Ape.jar, ROWS: 17, AVERAGE: 1.6470588
NAME: theisenp-lcm-java-android.jar, ROWS: 10, AVERAGE: 3.2
NAME: jmounts234-SmashUp.jar, ROWS: 30, AVERAGE: 1.4
NAME: madbrain-bomberman-simu.jar, ROWS: 1, AVERAGE: 1.0
NAME: crazygirl9991-SeniorResearch.jar, ROWS: 2, AVERAGE: 2.0
NAME: codelucas-rocketboy.jar, ROWS: 22, AVERAGE: 2.2727273
NAME: alexroussos-Mosaic.jar, ROWS: 1, AVERAGE: 1.0
NAME: verkehrsplaner-vp.jar, ROWS: 1, AVERAGE: 5.0
NAME: SoraZodia-ICS111-HAL9001.jar, ROWS: 10, AVERAGE: 1.9
NAME: Evenprime-PermissionZones.jar, ROWS: 13, AVERAGE: 1.2307693
NAME: jasonycw-Image-Processing-application.jar, ROWS: 2, AVERAGE: 4.0
NAME: moon-jerry-FruitNinja.jar, ROWS: 11, AVERAGE: 2.6363637
NAME: Yannholo-Space-Vivarium-UTBM.jar, ROWS: 6, AVERAGE: 1.0
NAME: gnuheidix-dicomux.jar, ROWS: 2, AVERAGE: 1.0
NAME: maxime-delisle-Neural-Network-with-Java.jar, ROWS: 7, AVERAGE: 2.2857144
NAME: danielsega-CIS260-Radar.jar, ROWS: 18, AVERAGE: 1.8333334
NAME: KingLeo5-FiledAway.jar, ROWS: 8, AVERAGE: 2.5
NAME: renannetto-Tic.jar, ROWS: 4, AVERAGE: 1.25
NAME: ZeroJim-ApexLauncher.jar, ROWS: 1, AVERAGE: 1.0
NAME: RossStudtman-Huck_Sort.jar, ROWS: 1, AVERAGE: 1.0
NAME: RongQiao-Graphic.jar, ROWS: 44, AVERAGE: 1.7272727
NAME: LemmingsWalker-Java-Base.jar, ROWS: 1, AVERAGE: 4.0
NAME: gan74-Koth.jar, ROWS: 13, AVERAGE: 1.5384616
NAME: isadov-kademika-jd-oct14-ivan.sadovsky.jar, ROWS: 4, AVERAGE: 1.0
NAME: brgj-Tales.jar, ROWS: 3, AVERAGE: 1.3333334
NAME: Helldevastator-efalg.jar, ROWS: 6, AVERAGE: 1.5
NAME: nixdorfan-nixdorfan_mnet.jar, ROWS: 2, AVERAGE: 1.0
NAME: lyijykyna-tykkipeli.jar, ROWS: 2, AVERAGE: 1.0
NAME: padiauj-AbilityOne.jar, ROWS: 1, AVERAGE: 1.0
NAME: jamesbest135-MusicMaker.jar, ROWS: 5, AVERAGE: 2.2
NAME: sgoeschl-java-image-processing-survival-guide.jar, ROWS: 4, AVERAGE: 1.0
NAME: frankuang-graphics-editor.jar, ROWS: 11, AVERAGE: 1.1818181
NAME: thomasahle-SokobanExam.jar, ROWS: 5, AVERAGE: 1.2
NAME: kbogi-Fyzik.jar, ROWS: 1, AVERAGE: 1.0
NAME: ValueChart-ValueChartGroup.jar, ROWS: 21, AVERAGE: 1.1428572
NAME: essaricy-Planets.jar, ROWS: 1, AVERAGE: 2.0
NAME: jcvl92-Show-Tracker.jar, ROWS: 3, AVERAGE: 1.0
NAME: inplex-Evo.jar, ROWS: 1, AVERAGE: 1.0
NAME: derekneil-antWars.jar, ROWS: 1, AVERAGE: 4.0
NAME: HAW-AI-IS-2013-SS-A3-DLFH-Paletto.jar, ROWS: 1, AVERAGE: 1.0
NAME: sugordon-Tonka.jar, ROWS: 76, AVERAGE: 2.618421
NAME: carloamaglio-josk.jar, ROWS: 6, AVERAGE: 2.6666667
NAME: vpiddem-Java-Graph-APIs.jar, ROWS: 5, AVERAGE: 1.6
NAME: mitch3a-SuperMarioWar.jar, ROWS: 23, AVERAGE: 1.3478261
NAME: samirouahhabi-teamAYICTriviaMaze.jar, ROWS: 1, AVERAGE: 1.0
NAME: dobravka-programistyczny2012.jar, ROWS: 1, AVERAGE: 1.0
NAME: liviro-coms4444-proj2.jar, ROWS: 2, AVERAGE: 1.0
NAME: trsinard-Checkers.jar, ROWS: 1, AVERAGE: 4.0
NAME: bingjiehuang-GlassCameraControl.jar, ROWS: 1, AVERAGE: 1.0
NAME: JohnDickerson-TrackIt.jar, ROWS: 15, AVERAGE: 3.6666667
NAME: sor1n-PixelThrive.jar, ROWS: 1, AVERAGE: 2.0
NAME: marcinkonys-cs324_bezier-curves.jar, ROWS: 5, AVERAGE: 1.2
NAME: PanierAvide-LearningBot.jar, ROWS: 15, AVERAGE: 2.0
NAME: ksotala-BayesGame.jar, ROWS: 9, AVERAGE: 2.1111112
NAME: gds12-xml_parsing_test.jar, ROWS: 3, AVERAGE: 1.0
NAME: ellbosch-Helicopter_Game.jar, ROWS: 1, AVERAGE: 1.0
NAME: ClathomasPrime-DiffEqGrapher.jar, ROWS: 3, AVERAGE: 1.0
NAME: MTU-Vitro-Vitro.jar, ROWS: 8, AVERAGE: 1.375
NAME: bjornenalfa-GA.jar, ROWS: 52, AVERAGE: 1.0192307
NAME: Zayb7-ThreadGame.jar, ROWS: 1, AVERAGE: 2.0
NAME: jesse-starr-springies.jar, ROWS: 14, AVERAGE: 1.7142857
NAME: MrClement-Chess.jar, ROWS: 4, AVERAGE: 1.0
NAME: HenrySwanson-3d-tetris.jar, ROWS: 3, AVERAGE: 4.3333335
NAME: XavierBertothy-PascalSierpinski.jar, ROWS: 2, AVERAGE: 4.0
NAME: ion-programming-LD29.jar, ROWS: 19, AVERAGE: 1.2105263
NAME: cjcase-elPaqman.jar, ROWS: 20, AVERAGE: 2.05
NAME: Misc129-Game.jar, ROWS: 29, AVERAGE: 2.413793
NAME: torgeha-GridProject.jar, ROWS: 3, AVERAGE: 2.3333333
NAME: StrayEddy-TicTacToe.jar, ROWS: 2, AVERAGE: 1.5
NAME: thelollies-3DRenderer.jar, ROWS: 3, AVERAGE: 1.0
NAME: FrecherxDachs-PhysicsEngine.jar, ROWS: 15, AVERAGE: 3.8
NAME: aptik-artcraft.jar, ROWS: 1, AVERAGE: 1.0
NAME: gnodet-epubs.jar, ROWS: 1, AVERAGE: 10.0
NAME: b3dog-2048-Java.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: tanakalen-ECMOjo.jar, ROWS: 4, AVERAGE: 1.25
NAME: SquareWatermelon-DarWin.jar, ROWS: 24, AVERAGE: 1.4583334
NAME: adityaork-PdfEditor.jar, ROWS: 5, AVERAGE: 1.0
NAME: Sebelino-mariocraft.jar, ROWS: 24, AVERAGE: 1.0416666
NAME: Miguel222tm-Control-App-Version-Pc.jar, ROWS: 1, AVERAGE: 1.0
NAME: IlyaOkonsky-gpusim.jar, ROWS: 1, AVERAGE: 1.0
NAME: JoshuaDickerson-JavaConcurrency.jar, ROWS: 2, AVERAGE: 2.5
NAME: chayaschiffer-schiffer-mco364-fall-2014.jar, ROWS: 4, AVERAGE: 1.0
NAME: ph4r05-TinyOSJava-2.1.ph4edit.jar, ROWS: 1, AVERAGE: 1.0
NAME: njeff-audioAnalysis.jar, ROWS: 3, AVERAGE: 3.0
NAME: rosalindwills-CleanSweep.jar, ROWS: 1, AVERAGE: 1.0
NAME: talmobi-CaveRace.jar, ROWS: 2, AVERAGE: 1.0
NAME: lumabreakout-algorithmik.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: vieiro-mandelbrot.jar, ROWS: 3, AVERAGE: 3.6666667
NAME: psycomp-java-zmanim.jar, ROWS: 1, AVERAGE: 2.0
NAME: quinston-summative2013.jar, ROWS: 8, AVERAGE: 1.75
NAME: salvomulas-departureboard.jar, ROWS: 6, AVERAGE: 5.8333335
NAME: palytoxin-algorithms4edBook.jar, ROWS: 43, AVERAGE: 1.4186046
NAME: changedi-weka.jar, ROWS: 17, AVERAGE: 1.6470588
NAME: timmolter-XChart.jar, ROWS: 36, AVERAGE: 4.5
NAME: propra12-orga-gruppe33.jar, ROWS: 4, AVERAGE: 2.5
NAME: pingdynasty-miditoys.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: jenis23-Super-Mario-Bros.jar, ROWS: 35, AVERAGE: 1.8857143
NAME: yijisoo-DnM.jar, ROWS: 18, AVERAGE: 1.9444444
NAME: lebiru-Draw.jar, ROWS: 7, AVERAGE: 2.0
NAME: EmilioFlores-ExamenParcial2.jar, ROWS: 2, AVERAGE: 1.0
NAME: oeoeaio-emma.jar, ROWS: 3, AVERAGE: 3.3333333
NAME: NeatMonster-2048.jar, ROWS: 5, AVERAGE: 1.2
NAME: GeriCookie-game-2048.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: SchuylerGoodman-record-indexer.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: JosuaKrause-JKit-CustomPen.jar, ROWS: 28, AVERAGE: 2.0357144
NAME: JPizzy-Projects.jar, ROWS: 3, AVERAGE: 1.0
NAME: nader-eloshaiker-Teamcenter-AdminView.jar, ROWS: 4, AVERAGE: 2.25
NAME: tpavels-Game-of-Life.jar, ROWS: 1, AVERAGE: 1.0
NAME: jedyobidan-jedyobidan.jar, ROWS: 4, AVERAGE: 1.75
NAME: moignon-FranceInvader.jar, ROWS: 1, AVERAGE: 3.0
NAME: futek-tetris.jar, ROWS: 1, AVERAGE: 1.0
NAME: RalfK92-OPR.jar, ROWS: 5, AVERAGE: 1.2
NAME: cristianomarjar-Image.jar, ROWS: 13, AVERAGE: 1.9230769
NAME: MrClement-KenTraveler.jar, ROWS: 1, AVERAGE: 1.0
NAME: Dereku-minecraft-1.7.3b.jar, ROWS: 2, AVERAGE: 2.0
NAME: Steckenbauer-CalcKodut.jar, ROWS: 1, AVERAGE: 1.0
NAME: blackchip-org-widgets.jar, ROWS: 9, AVERAGE: 1.4444444
NAME: Miyou-RTS.jar, ROWS: 3, AVERAGE: 1.0
NAME: barta3-TravelPlanner.jar, ROWS: 3, AVERAGE: 1.0
NAME: benevolent0505-GhostFinder.jar, ROWS: 2, AVERAGE: 2.0
NAME: robwil-elements_of_programming_interviews.jar, ROWS: 2, AVERAGE: 2.5
NAME: timboe-Lightspeed.jar, ROWS: 1, AVERAGE: 1.0
NAME: CenturionFox-asapi-java.jar, ROWS: 1, AVERAGE: 2.0
NAME: manuel-freire-eps-catan.jar, ROWS: 6, AVERAGE: 1.8333334
NAME: lemrey-virtualino.jar, ROWS: 80, AVERAGE: 2.9
NAME: pauldeschacht-pdfgrid.jar, ROWS: 6, AVERAGE: 2.1666667
NAME: theck01-JRace.jar, ROWS: 3, AVERAGE: 1.6666666
NAME: Nonexistent-BasicFunctionGrapher.jar, ROWS: 5, AVERAGE: 1.8
NAME: shuberzwei-Interos-App.jar, ROWS: 2, AVERAGE: 2.0
NAME: inukurax-BoxFigther.jar, ROWS: 5, AVERAGE: 2.2
NAME: oshmianski-DebtFilterer.jar, ROWS: 1, AVERAGE: 1.0
NAME: Bilderbastler-Vogelschwarm.jar, ROWS: 1, AVERAGE: 3.0
NAME: EdgarsGars-DreamProject.jar, ROWS: 6, AVERAGE: 1.1666666
NAME: jimmynavio-Click-Clack.jar, ROWS: 3, AVERAGE: 1.0
NAME: adakoda-android-screen-monitor.jar, ROWS: 1, AVERAGE: 1.0
NAME: russjr08-KronosKonverse.jar, ROWS: 6, AVERAGE: 1.3333334
NAME: karasik-carassius.jar, ROWS: 1, AVERAGE: 1.0
NAME: Ping-Lin-PikaBall-X-Connect.jar, ROWS: 4, AVERAGE: 1.5
NAME: kenrocha-IntroToProgramming.jar, ROWS: 13, AVERAGE: 1.4615384
NAME: veget88-RobocodeProject.jar, ROWS: 135, AVERAGE: 2.1703703
NAME: elgitty-Pong.jar, ROWS: 16, AVERAGE: 1.1875
NAME: mypsycho-SwingAppFramework.jar, ROWS: 2, AVERAGE: 1.0
NAME: FolsomMike-OPT-NotchCutter-UI.jar, ROWS: 1, AVERAGE: 1.0
NAME: CSRessel-catan.jar, ROWS: 5, AVERAGE: 1.8
NAME: stevenholder-gemtd.jar, ROWS: 4, AVERAGE: 2.5
NAME: deadlybutter-CiscoPong.jar, ROWS: 14, AVERAGE: 2.0714285
NAME: gilleain-signatures.jar, ROWS: 1, AVERAGE: 2.0
NAME: samadlotia-Scissors.jar, ROWS: 4, AVERAGE: 1.75
NAME: zhyi-zse.jar, ROWS: 4, AVERAGE: 1.0
NAME: carlosb1-algorithms.jar, ROWS: 26, AVERAGE: 1.4615384
NAME: mjhickson-RefactoringProject.jar, ROWS: 1, AVERAGE: 1.0
NAME: atesbalci-CS319.jar, ROWS: 11, AVERAGE: 1.1818181
NAME: UCSB-CS56-Projects-cs56-games-maze.jar, ROWS: 5, AVERAGE: 1.2
NAME: Flafla2-Remote2D-Engine.jar, ROWS: 1, AVERAGE: 2.0
NAME: pavanmankala-ditaa.jar, ROWS: 31, AVERAGE: 3.6451614
NAME: zeringus-svg-to-pdf-converter.jar, ROWS: 9, AVERAGE: 1.7777778
NAME: LynkLin-lynk-swing.jar, ROWS: 4, AVERAGE: 5.0
NAME: QuasimodoNZ-SWEN222_Cluedo.jar, ROWS: 1, AVERAGE: 1.0
NAME: olgierd-aboynator.jar, ROWS: 1, AVERAGE: 1.0
NAME: NetTango-NetTangoDevel.jar, ROWS: 51, AVERAGE: 1.6078432
NAME: bcronertrevenge-TetraWord.jar, ROWS: 1, AVERAGE: 1.0
NAME: anair13-CBC-communicator.jar, ROWS: 30, AVERAGE: 1.7
NAME: alebahn-Triton.jar, ROWS: 14, AVERAGE: 1.4285715
NAME: arinaschwartz-OpinionDynamics.jar, ROWS: 9, AVERAGE: 1.6666666
NAME: leomendoza123-POO-1.jar, ROWS: 3, AVERAGE: 1.0
NAME: gameclosure-bcif.jar, ROWS: 1, AVERAGE: 2.0
NAME: lehaSVV2009-GraphEditor.jar, ROWS: 4, AVERAGE: 1.0
NAME: juankis-Lumiere.jar, ROWS: 1, AVERAGE: 1.0
NAME: dean13-meet-Electric-Field-Mapping.jar, ROWS: 4, AVERAGE: 3.75
NAME: pshinghal-TetrisPal.jar, ROWS: 13, AVERAGE: 1.9230769
NAME: lleontan-rougesummer.jar, ROWS: 2, AVERAGE: 4.0
